SPASE_ResourceName,HelioDate_short_name,SPASE_AlternateName,HelioDate_long_name
Gottingen-1,Gottingen 1,"['Gottingen-1', 'IAGA:GOT']",Gottingen-1
Gottingen-2,Gottingen 2,"['Gottingen-2', 'IAGA:GTT']",Gottingen-2
Grahamstown,Grahamstown,"['Grahamstown', 'IAGA:GRM']",Grahamstown
Great Wall Station,Great Wall Station,"['Great.Wall.Station', 'IAGA:GTW']",Great.Wall.Station
Great Whale River,Great Whale River,"['Great.Whale.River', 'IAGA:GWC']",Great.Whale.River
Greenwich,Greenwich,"['Greenwich', 'IAGA:GRW']",Greenwich
Grocka,Grocka,"['Grocka', 'IAGA:GCK']",IAGA:GCK
Gross Raum,Gross Raum,"['Gross.Raum', 'IAGA:GRR']",Gross.Raum
Grytviken,Grytviken,"['Grytviken', 'IAGA:GTV']",Grytviken
Guam,Guam,"['Guam', 'IAGA:GUA']",IAGA:GUA
Guangzhou,Guangzhou,"['Guangzhou', 'IAGA:GZH']",Guangzhou
Guimar,Guimar,"['Guimar', 'IAGA:GUI']",IAGA:GUI
Hackney Wick 1,Hackney Wick 1,"['Hackney.Wick.1', 'IAGA:HWK']",Hackney.Wick.1
Hackney Wick 2,Hackney Wick 2,"['Hackney.Wick.2', 'IAGA:BYH']",Hackney.Wick.2
Hallet,Hallet,"['Hallet', 'IAGA:HLL']",IAGA:HLL
Halley Bay,Halley Bay,"['Halley.Bay', 'IAGA:HBA']",Halley.Bay
Hamburg,Hamburg,"['Hamburg', 'IAGA:HAM']",IAGA:HAM
Hankasalmi,HAN,"['Hankasalmi', 'IAGA:HAN']",Hankasalmi
Hartebeesthoek,Hartebeesthoek,"['Hartebeesthoek', 'IAGA:HBK']",Hartebeesthoek
Hartland,Hartland,"['Hartland', 'IAGA:HAD']",Hartland
Hatizyo,Hatizyo,"['Hatizyo', 'IAGA:HTY']",IAGA:HTY
Havana,Havana,"['Havana', 'IAGA:HVN']",IAGA:HVN
Hayriver,Hayriver,"['Hayriver', 'IAGA:HRI']",Hayriver
Healy,Healy,"['Healy', 'IAGA:HEA']",IAGA:HEA
Heard Island,Heard Island,"['Heard.Island', 'IAGA:HII']",Heard.Island
Heiss Island,Heiss Island,"['Heiss.Island', 'IAGA:HIS']",Heiss.Island
Hel,Hel,"['Hel', 'IAGA:HLP']",IAGA:HLP
Helsinki,Helsinki,"['Helsinki', 'IAGA:HLS']",Helsinki
Helwan,Helwan,"['Helwan', 'IAGA:HLW']",IAGA:HLW
Herchmer,Herchmer,"['Herchmer', 'IAGA:HCR']",Herchmer
Hermanus,Hermanus,"['Hermanus', 'IAGA:HER']",Hermanus
Hermsdorf,Hermsdorf,"['Hermsdorf', 'IAGA:HDF']",Hermsdorf
Hobart,Hobart,"['Hobart', 'IAGA:HBT']",IAGA:HBT
Hollandia,Hollandia,"['Hollandia', 'IAGA:HNA']",Hollandia
Holsteinsborg,Holsteinsborg,"['Holsteinsborg', 'IAGA:HST']",Holsteinsborg
Hong Kong 1,Hong Kong,"['Hong.Kong.1', 'IAGA:HKC']",Hong.Kong.1
Honolulu 1-2-3,Honolulu 1 2 3,"['Honolulu.1-2-3', 'IAGA:HON']",Honolulu.1-2-3
Hornsund,Hornsund,"['Hornsund', 'IAGA:HRN']",Hornsund
Huancayo,Huancayo,"['Huancayo', 'IAGA:HUA']",Huancayo
Hurbanovo,Hurbanovo,"['Hurbanovo', 'IAGA:HRB']",Hurbanovo
Husafell,Husafell,"['Husafell', 'IAGA:HUS']",Husafell
Hyderabad,Hyderabad,"['Hyderabad', 'IAGA:HYB']",Hyderabad
Ibadan,Ibadan,"['Ibadan', 'IAGA:IBD']",IAGA:IBD
Ile-Ife,Ile Ife,"['Ile-Ife', 'IAGA:IIF']",IAGA:IIF
Inge Lehmann,Inge Lehmann,"['Inge.Lehmann', 'IAGA:ILN']",Inge.Lehmann
Inuvik,INK,"['Inuvik', 'IAGA:INK']",IAGA:INK
Iqaluit,IQA,"['Iqaluit', 'IAGA:IQA']",IAGA:IQA
Isachsen,Isachsen,"['Isachsen', 'IAGA:ISC']",Isachsen
Islamabad,Islamabad,"['Islamabad', 'IAGA:ISP']",Islamabad
Island Lake,Island Lake,"['Island.Lake', 'IAGA:ISL']",Island.Lake
Istanbul Kandilly,Istanbul Kandilly,"['Istanbul.Kandilly', 'IAGA:ISK']",Istanbul.Kandilly
Ivalo,IVA,"['Ivalo', 'IAGA:IVA']",IAGA:IVA
Ivigtut,Ivigtut,"['Ivigtut', 'IAGA:IVI']",IAGA:IVI
Iznik,Iznik,"['Iznik', 'IAGA:IZN']",IAGA:IZN
Jaipur,Jaipur,"['Jaipur', 'IAGA:JAI']",IAGA:JAI
Jaluit,Jaluit,"['Jaluit', 'IAGA:JAL']",IAGA:JAL
Jan Mayen,JMI,"['Jan.Mayen', 'IAGA:JMI']",Jan.Mayen
Janow,Janow,"['Janow', 'IAGA:YNV']",IAGA:YNV
Jarvis Island,Jarvis Island,"['Jarvis.Island', 'IAGA:JRV']",Jarvis.Island
Jassy,Jassy,"['Jassy', 'IAGA:JSS']",IAGA:JSS
Jekman Island,Jekman Island,"['Jekman.Island', 'IAGA:JKI']",Jekman.Island
Johnson Point,Johnson Point,"['Johnson.Point', 'IAGA:JOP']",Johnson.Point
Julianehaab,Julianehaab,"['Julianehaab', 'IAGA:JUL']",Julianehaab
Kakadu,Kakadu,"['Kakadu', 'IAGA:KDU']",IAGA:KDU
Kakioka,Kakioka,"['Kakioka', 'IAGA:KAK']",IAGA:KAK
Kaliningrad-1,Kaliningrad 1,"['Kaliningrad-1', 'IAGA:KLD']",Kaliningrad-1
Kaliningrad-2,Kaliningrad 2,"['Kaliningrad-2', 'IAGA:KNG']",Kaliningrad-2
Kamenniyj Mys,Kamenniyj Mys,"['Kamenniyj.Mys', 'IAGA:KAM']",Kamenniyj.Mys
Kandalaksha,Kandalaksha,"['Kandalaksha', 'IAGA:KND']",Kandalaksha
Kanoya,Kanoya,"['Kanoya', 'IAGA:KNY']",IAGA:KNY
Kanozan,Kanozan,"['Kanozan', 'IAGA:KNZ']",IAGA:KNZ
Kap Tobin,Kap Tobin,"['Kap.Tobin', 'IAGA:KTG']",Kap.Tobin
Karachi,Karachi,"['Karachi', 'IAGA:KRC']",IAGA:KRC
Karavia,Karavia,"['Karavia', 'IAGA:KVA']",IAGA:KVA
Karmakuli,Karmakuli,"['Karmakuli', 'IAGA:KAR']",Karmakuli
Karsani,Karsani,"['Karsani', 'IAGA:KAS']",IAGA:KAS
Kashi,Kashi,"['Kashi', 'IAGA:KSH']",IAGA:KSH
Katuura,Katuura,"['Katuura', 'IAGA:KAT']",IAGA:KAT
Keetmanshoop,Keetmanshoop,"['Keetmanshoop', 'IAGA:KEE']",Keetmanshoop
Keles,Keles,"['Keles', 'IAGA:KEL']",IAGA:KEL
Kem,Kem,"['Kem', 'IAGA:KEM']",IAGA:KEM
Kerguelen,Kerguelen,"['Kerguelen', 'IAGA:KGL']",Kerguelen
Kew,Kew,"['Kew', 'IAGA:KEW']",IAGA:KEW
Key West,Key West,"['Key.West', 'IAGA:KWT']",Key.West
Khabarovsk,Khabarovsk,"['Khabarovsk', 'IAGA:KHB']",Khabarovsk
Kharasavey,Kharasavey,"['Kharasavey', 'IAGA:KHS']",Kharasavey
Kiel,Kiel,"['Kiel', 'IAGA:KIE']",IAGA:KIE
King George Island,King George Island,"['King.George.Island', 'IAGA:KGI']",King.George.Island
King Point,King Point,"['King.Point', 'IAGA:KPT']",King.Point
Kinguafjord,Kinguafjord,"['Kinguafjord', 'IAGA:KGF']",Kinguafjord
Kiruna,Kiruna,"['Kiruna', 'IAGA:KIR']",IAGA:KIR
Klagenfurt,Klagenfurt,"['Klagenfurt', 'IAGA:KFT']",Klagenfurt
Klyuchi,Klyuchi,"['Klyuchi', 'IAGA:KLY']",IAGA:KLY
Kodaikanal,Kodaikanal,"['Kodaikanal', 'IAGA:KOD']",Kodaikanal
Kontagora,Kontagora,"['Kontagora', 'IAGA:KNT']",Kontagora
Korets,Korets,"['Korets', 'IAGA:KTS']",IAGA:KTS
Koror,Koror,"['Koror', 'IAGA:KOR']",IAGA:KOR
Kotzebue,Kotzebue,"['Kotzebue', 'IAGA:KOT']",Kotzebue
Kourou,Kourou,"['Kourou', 'IAGA:KOU']",IAGA:KOU
Krakau,Krakau,"['Krakau', 'IAGA:CRA']",IAGA:CRA
Krasnaya Pakhra,Krasnaya Pakhra,"['Krasnaya.Pakhra', 'IAGA:MOS']",Krasnaya.Pakhra
Kremsmunster,Kremsmunster,"['Kremsmunster', 'IAGA:KRE']",Kremsmunster
Ksara,Ksara,"['Ksara', 'IAGA:KSA']",IAGA:KSA
Kuchino,Kuchino,"['Kuchino', 'IAGA:KTC']",IAGA:KTC
Kumasi,Kumasi,"['Kumasi', 'IAGA:KUM']",IAGA:KUM
Kupang,Kupang,"['Kupang', 'IAGA:KUP']",IAGA:KUP
Kuyper,Kuyper,"['Kuyper', 'IAGA:KUY']",IAGA:KUY
Kwajalein,Kwajalein,"['Kwajalein', 'IAGA:KWJ']",Kwajalein
Kzil-Agach,Kzil Agach,"['Kzil-Agach', 'IAGA:KZA']",Kzil-Agach
La Maddalena,La Maddalena,"['La.Maddalena', 'IAGA:LMD']",La.Maddalena
La Paz,La Paz,"['La.Paz', 'IAGA:LPB']",IAGA:LPB
La Quiaca,La Quiaca,"['La.Quiaca', 'IAGA:LQA']",La.Quiaca
Langenberg And Bochum,Langenberg And Bochum,"['Langenberg.And.Bochum', 'IAGA:BOC']",Langenberg.And.Bochum
Lanzhou,Lanzhou,"['Lanzhou', 'IAGA:LZH']",IAGA:LZH
L'Aquila,L'Aquila,"[""L'Aquila"", 'IAGA:AQU']",L'Aquila
Las Acacias,Las Acacias,"['Las.Acacias', 'IAGA:LAS']",Las.Acacias
Lauder,Lauder,"['Lauder', 'IAGA:LAU']",IAGA:LAU
Lazarev,Lazarev,"['Lazarev', 'IAGA:LZV']",IAGA:LZV
Leadville,Leadville,"['Leadville', 'IAGA:LDV']",Leadville
Learmonth,Learmonth,"['Learmonth', 'IAGA:LRM']",Learmonth
Leduc,Leduc,"['Leduc', 'IAGA:LED']",IAGA:LED
Leirvogur,LRV,"['Leirvogur', 'IAGA:LRV']",Leirvogur
Lerwick,Lerwick,"['Lerwick', 'IAGA:LER']",IAGA:LER
Lhasa,Lhasa,"['Lhasa', 'IAGA:LSA']",IAGA:LSA
Lisbon,Lisbon,"['Lisbon', 'IAGA:LIS']",IAGA:LIS
Little America,Little America,"['Little.America', 'IAGA:LAA']",Little.America
Livingston Island,Livingston Island,"['Livingston.Island', 'IAGA:LIV']",Livingston.Island
Logrono,Logrono,"['Logrono', 'IAGA:LGR']",IAGA:LGR
Lompoc,Lompoc,"['Lompoc', 'IAGA:LOC']",IAGA:LOC
Loparskaya/Murmansk,Loparskaya Murmansk,"['Murmansk', 'IAGA:MMK']",Murmansk
Loring AFB,Loring AFB,"['Loring.AFB', 'IAGA:LOB']",Loring.AFB
Los Angeles,Los Angeles,"['Los.Angeles', 'IAGA:LOS']",Los.Angeles
Lourenco Marques,Lourenco Marques,"['Lourenco.Marques', 'IAGA:LMM']",Lourenco.Marques
Lovo,Lovo,"['Lovo', 'IAGA:LOV']",IAGA:LOV
Lovozero,LOZ,"['Lovozero', 'IAGA:LOZ']",Lovozero
Luanda,Luanda,"['Luanda', 'IAGA:LUA']",IAGA:LUA
Lubeck,Lubeck,"['Lubeck', 'IAGA:LUB']",IAGA:LUB
Lucky Lake,LUC,"['Lucky.Lake', 'IAGA:LUC']",Lucky.Lake
Lukiapang-1,Lukiapang 1,"['Lukiapang-1', 'IAGA:LKP']",Lukiapang-1
Lukiapang-2,Lukiapang 2,"['Lukiapang-2', 'IAGA:LUK']",Lukiapang-2
Lunping,Lunping,"['Lunping', 'IAGA:LNP']",IAGA:LNP
Lvov,Lvov,"['Lvov', 'IAGA:LVV']",IAGA:LVV
Lwiro,Lwiro,"['Lwiro', 'IAGA:LWI']",IAGA:LWI
Lynn Lake,Lynn Lake,"['Lynn.Lake', 'IAGA:LYN']",Lynn.Lake
Macquarie Island,Macquarie Island,"['Macquarie.Island', 'IAGA:MCQ']",Macquarie.Island
Madras,Madras,"['Madras', 'IAGA:MDS']",IAGA:MDS
Madrid,Madrid,"['Madrid', 'IAGA:MDD']",IAGA:MDD
Magadan,Magadan,"['Magadan', 'IAGA:MGD']",IAGA:MGD
Magallanes,Magallanes,"['Magallanes', 'IAGA:MGS']",Magallanes
Maisach-1,Maisach 1,"['Maisach-1', 'IAGA:MAS']",Maisach-1
Maisach-2,Maisach 2,"['Maisach-2', 'IAGA:MSC']",Maisach-2
Maitun/Vladivostok,Maitun Vladivostok,"['Vladivostok', 'IAGA:MAI']",Vladivostok
Majuro,Majuro,"['Majuro', 'IAGA:MJR']",IAGA:MJR
Makerstoun,Makerstoun,"['Makerstoun', 'IAGA:MAK']",Makerstoun
Malyye Karmakuly,Malyye Karmakuly,"['Malyye.Karmakuly', 'IAGA:MKL']",Malyye.Karmakuly
Manado,Manado,"['Manado', 'IAGA:MND']",IAGA:MND
Manhay,Manhay,"['Manhay', 'IAGA:MAB']",IAGA:MAB
Manila,Manila,"['Manila', 'IAGA:MAN']",IAGA:MAN
Manzhouli,Manzhouli,"['Manzhouli', 'IAGA:MZL']",Manzhouli
Marion Island,Marion Island,"['Marion.Island', 'IAGA:MRN']",Marion.Island
Martin De Vivies,Martin De Vivies,"['Martin.De.Vivies', 'IAGA:AMS']",Martin.De.Vivies
Matochkin Shar,Matochkin Shar,"['Matochkin.Shar', 'IAGA:MSR']",Matochkin.Shar
Mauritius,Mauritius,"['Mauritius', 'IAGA:MRI']",Mauritius
Mawson,Mawson,"['Mawson', 'IAGA:MAW']",IAGA:MAW
MBour,MBour,"['MBour', 'IAGA:MBO']",IAGA:MBO
Mcmath-Hulbert,Mcmath Hulbert,"['Mcmath-Hulbert', 'IAGA:MMH']",Mcmath-Hulbert
Mcmurdo,Mcmurdo,"['Mcmurdo', 'IAGA:MCM']",IAGA:MCM
Meanook,MEA,"['Meanook', 'IAGA:MEA']",IAGA:MEA
Melbourne,Melbourne,"['Melbourne', 'IAGA:MEL']",Melbourne
Melville AFB,Melville AFB,"['Melville.AFB', 'IAGA:MEV']",Melville.AFB
Memambetsu,Memambetsu,"['Memambetsu', 'IAGA:MMB']",Memambetsu
Mexico City,Mexico City,"['Mexico.City', 'IAGA:MEX']",Mexico.City
Midway-1,Midway 1,"['Midway-1', 'IAGA:MDY']",Midway-1
Midway-2,Midway 2,"['Midway-2', 'IAGA:MID']",Midway-2
Mikolow,Mikolow,"['Mikolow', 'IAGA:BMK']",IAGA:BMK
Minamitory Shima,Minamitory Shima,"['Minamitory.Shima', 'IAGA:MIN']",Minamitory.Shima
Minneapolis,Minneapolis,"['Minneapolis', 'IAGA:MNN']",Minneapolis
Minsk/Pleshenitzi,Minsk Pleshenitzi,"['Pleshenitzi', 'IAGA:MNK']",Pleshenitzi
Mirny,Mirny,"['Mirny', 'IAGA:MIR']",IAGA:MIR
Misallat,Misallat,"['Misallat', 'IAGA:MLT']",Misallat
Miyazu,Miyazu,"['Miyazu', 'IAGA:MIU']",IAGA:MIU
Mizuho,Mizuho,"['Mizuho', 'IAGA:MIO']",IAGA:MIO
Mizusawa,Mizusawa,"['Mizusawa', 'IAGA:MIZ']",Mizusawa
Mo He,Mo He,"['Mo.He', 'IAGA:MOH']",IAGA:MOH
Moca,Moca,"['Moca', 'IAGA:MFP']",IAGA:MFP
Modiim,Modiim,"['Modiim', 'IAGA:MOD']",IAGA:MOD
Mogadiscio,Mogadiscio,"['Mogadiscio', 'IAGA:MOG']",Mogadiscio
Molodezhnaya,Molodezhnaya,"['Molodezhnaya', 'IAGA:MOL']",Molodezhnaya
Moskva,Moskva,"['Moskva', 'IAGA:MSK']",IAGA:MSK
Mould Bay,Mould Bay,"['Mould.Bay', 'IAGA:MBC']",Mould.Bay
Mount Weather,Mount Weather,"['Mount.Weather', 'IAGA:MWR']",Mount.Weather
Mt Clemens,Mt Clemens,"['Mt.Clemens', 'IAGA:MCL']",Mt.Clemens
Mt Wilson,Mt Wilson,"['Mt.Wilson', 'IAGA:MWC']",Mt.Wilson
Munchen,Munchen,"['Munchen', 'IAGA:MNH']",IAGA:MNH
Muntinlupa,Muntinlupa,"['Muntinlupa', 'IAGA:MUT']",Muntinlupa
Murchison Bay,Murchison Bay,"['Murchison.Bay', 'IAGA:MUB']",Murchison.Bay
Murmansk,Murmansk,"['Murmansk', 'IAGA:MRM']",Murmansk
Nagpur,Nagpur,"['Nagpur', 'IAGA:NGP']",IAGA:NGP
Nagycenk,Nagycenk,"['Nagycenk', 'IAGA:NCK']",Nagycenk
Nairobi,Nairobi,"['Nairobi', 'IAGA:NAI']",IAGA:NAI
Nampula,Nampula,"['Nampula', 'IAGA:NMP']",IAGA:NMP
Nanortalik,Nanortalik,"['Nanortalik', 'IAGA:NNT']",Nanortalik
Nantes,Nantes,"['Nantes', 'IAGA:NTS']",IAGA:NTS
Narssarssuaq,Narssarssuaq,"['Narssarssuaq', 'IAGA:NAQ']",Narssarssuaq
Nerchinsk,Nerchinsk,"['Nerchinsk', 'IAGA:NER']",Nerchinsk
Neufahrwasser,Neufahrwasser,"['Neufahrwasser', 'IAGA:NFW']",Neufahrwasser
Neumayer Station III,Neumayer Station III,"['VNA', 'IAGA:VNA']",IAGA:VNA
New Alesund,New Alesund,"['New.Alesund', 'IAGA:NAL']",New.Alesund
New Year Island,New Year Island,"['New.Year.Island', 'IAGA:NYI']",New.Year.Island
Newport,Newport,"['Newport', 'IAGA:NEW']",IAGA:NEW
Nice,Nice,"['Nice', 'IAGA:NCE']",IAGA:NCE
Nida,Nida,"['Nida', 'IAGA:NDA']",IAGA:NDA
Niemegk,Niemegk,"['Niemegk', 'IAGA:NGK']",IAGA:NGK
Nitsanim,Nitsanim,"['Nitsanim', 'IAGA:NSM']",Nitsanim
Nizhnedevitsk,Nizhnedevitsk,"['Nizhnedevitsk', 'IAGA:NNV']",Nizhnedevitsk
Nord,NRD,"['Nord', 'IAGA:NRD']",IAGA:NRD
Norilsk,Norilsk,"['Norilsk', 'IAGA:NOK']",IAGA:NOK
Norman Wells,Norman Wells,"['Norman.Wells', 'IAGA:NOW']",Norman.Wells
North Pole 10,North Pole 10,"['North.Pole.10', 'IAGA:NPJ']",North.Pole.10
North Pole 12,North Pole 12,"['North.Pole.12', 'IAGA:NPL']",North.Pole.12
North Pole 13,North Pole 13,"['North.Pole.13', 'IAGA:NPM']",North.Pole.13
North Pole 6,North Pole 6,"['North.Pole.6', 'IAGA:NPF']",North.Pole.6
North Pole 7,North Pole 7,"['North.Pole.7', 'IAGA:NPG']",North.Pole.7
North Pole 8,North Pole 8,"['North.Pole.8', 'IAGA:NPH']",North.Pole.8
Northway,Northway,"['Northway', 'IAGA:NRW']",Northway
Norway House,Norway House,"['Norway.House', 'IAGA:NHO']",Norway.House
Norway Station,Norway Station,"['Norway.Station', 'IAGA:NWS']",Norway.Station
Novokazalinsk,Novokazalinsk,"['Novokazalinsk', 'IAGA:NKK']",Novokazalinsk
Novolazarevskaya,Novolazarevskaya,"['Novolazarevskaya', 'IAGA:NVL']",Novolazarevskaya
Novosibirsk,Novosibirsk,"['Novosibirsk', 'IAGA:NVS']",Novosibirsk
Numto,Numto,"['Numto', 'IAGA:NMT']",IAGA:NMT
Nurmijarvi,NUR,"['Nurmijarvi', 'IAGA:NUR']",Nurmijarvi
Oasis,Oasis,"['Oasis', 'IAGA:OAS']",IAGA:OAS
Odessa,Odessa,"['Odessa', 'IAGA:ODA']",IAGA:ODA
O'Gyalia,O'Gyalia,"[""O'Gyalia"", 'IAGA:OGY']",O'Gyalia
Okinawa,Okinawa,"['Okinawa', 'IAGA:OKN']",IAGA:OKN
Onagawa,Onagawa,"['Onagawa', 'IAGA:ONW']",IAGA:ONW
Orange Bay,Orange Bay,"['Orange.Bay', 'IAGA:ORB']",Orange.Bay
Orcadas Del Sur,Orcadas Del Sur,"['Orcadas.Del.Sur', 'IAGA:ORC']",Orcadas.Del.Sur
Oslo,Oslo,"['Oslo', 'IAGA:OSL']",IAGA:OSL
Otomari,Otomari,"['Otomari', 'IAGA:OTM']",IAGA:OTM
Ottawa,OTT,"['Ottawa', 'IAGA:OTT']",IAGA:OTT
Oulujarvi,OUL,"['Oulujarvi', 'IAGA:OUL']",Oulujarvi
Palau,Palau,"['Palau', 'IAGA:PLA']",IAGA:PLA
Palmyra Island,Palmyra Island,"['Palmyra.Island', 'IAGA:PAI']",Palmyra.Island
Panagyurishte,Panagyurishte,"['Panagyurishte', 'IAGA:PAG']",Panagyurishte
Papeete,Papeete,"['Papeete', 'IAGA:PPT']",IAGA:PPT
Paramaribo,Paramaribo,"['Paramaribo', 'IAGA:PAB']",Paramaribo
Paratunka/Petropavlovsk,Paratunka Petropavlovsk,"['Petropavlovsk', 'IAGA:PET']",Petropavlovsk
Patacamaya,Patacamaya,"['Patacamaya', 'IAGA:PTY']",Patacamaya
Patrick,Patrick,"['Patrick', 'IAGA:PAT']",IAGA:PAT
Patrony/Irkoutsk,Patrony Irkoutsk,"['Irkoutsk', 'IAGA:IRT']",Irkoutsk
Pebek,Pebek,"['Pebek', 'IAGA:PBK']",IAGA:PBK
Pedeli,Pedeli,"['Pedeli', 'IAGA:PEG']",IAGA:PEG
Peking 1,Peking,"['Peking.1', 'IAGA:PEK']",Peking.1
Penang,Penang,"['Penang', 'IAGA:PNN']",IAGA:PNN
Perpignan,Perpignan,"['Perpignan', 'IAGA:PER']",Perpignan
Petsamo,Petsamo,"['Petsamo', 'IAGA:PTS']",IAGA:PTS
Philadelphia,Philadelphia,"['Philadelphia', 'IAGA:PGC']",Philadelphia
Phutuy,Phutuy,"['Phutuy', 'IAGA:PHU']",IAGA:PHU
Pilar,Pilar,"['Pilar', 'IAGA:PIL']",IAGA:PIL
Pionerskaya,Pionerskaya,"['Pionerskaya', 'IAGA:PIO']",Pionerskaya
Pitlekaya,Pitlekaya,"['Pitlekaya', 'IAGA:PTL']",Pitlekaya
Plaisance,Plaisance,"['Plaisance', 'IAGA:PLS']",Plaisance
Plateau,Plateau,"['Plateau', 'IAGA:PTU']",IAGA:PTU
Podkamenaya Tunguska,Podkamenaya Tunguska,"['Podkamenaya.Tunguska', 'IAGA:POD']",Podkamenaya.Tunguska
Poker Flat,POK,"['Poker.Flat', 'IAGA:POK']",Poker.Flat
Pola,Pola,"['Pola', 'IAGA:POL']",IAGA:POL
Pondicherry,Pondicherry,"['Pondicherry', 'IAGA:PND']",Pondicherry
Port Aux Francais,Port Aux Francais,"['Port.Aux.Francais', 'IAGA:PAF']",Port.Aux.Francais
Port Foulke,Port Foulke,"['Port.Foulke', 'IAGA:PFK']",Port.Foulke
Port Jeanne D'Arc,Port Jeanne D'Arc,"[""Port.Jeanne.D'Arc"", 'IAGA:PJA']",Port.Jeanne.D'Arc
Port Moresby,Port Moresby,"['Port.Moresby', 'IAGA:PMG']",Port.Moresby
Port Stanley,Port Stanley,"['Port.Stanley', 'IAGA:PST']",Port.Stanley
Poste De La Baleine,Poste De La Baleine,"['Poste.De.La.Baleine', 'IAGA:PBQ']",Poste.De.La.Baleine
Potsdam,Potsdam,"['Potsdam', 'IAGA:POT']",IAGA:POT
Prague,Prague,"['Prague', 'IAGA:PRA']",IAGA:PRA
Preobrazhenia,Preobrazhenia,"['Preobrazhenia', 'IAGA:PRE']",Preobrazhenia
Price,Price,"['Price', 'IAGA:PCU']",IAGA:PCU
Pruhonice,Pruhonice,"['Pruhonice', 'IAGA:PRU']",Pruhonice
Qianling,Qianling,"['Qianling', 'IAGA:QIX']",Qianling
Qiongzhong,Qiongzhong,"['Qiongzhong', 'IAGA:QGZ']",Qiongzhong
Qsaybeh,Qsaybeh,"['Qsaybeh', 'IAGA:QSB']",IAGA:QSB
Quanzhou,Quanzhou,"['Quanzhou', 'IAGA:QZH']",Quanzhou
Quetta,Quetta,"['Quetta', 'IAGA:QUE']",IAGA:QUE
Raciborg,Raciborg,"['Raciborg', 'IAGA:RAC']",Raciborg
Rankin Inlet,RIT,"['Rankin.Inlet', 'IAGA:RIT']",Rankin.Inlet
Rapid City,Rapid City,"['Rapid.City', 'IAGA:RPC']",Rapid.City
Refuge Harbour,Refuge Harbour,"['Refuge.Harbour', 'IAGA:RFH']",Refuge.Harbour
Regensberg,Regensberg,"['Regensberg', 'IAGA:REG']",Regensberg
Resolute Bay,Resolute Bay,"['Resolute.Bay', 'IAGA:RES']",Resolute.Bay
Rio De Janeiro,Rio De Janeiro,"['Rio.De.Janeiro', 'IAGA:RDJ']",Rio.De.Janeiro
Roburent,Roburent,"['Roburent', 'IAGA:ROB']",Roburent
Roi Baudouin,Roi Baudouin,"['Roi.Baudouin', 'IAGA:RBD']",Roi.Baudouin
Rostock,Rostock,"['Rostock', 'IAGA:ROK']",IAGA:ROK
Rostov On Don,Rostov On Don,"['Rostov.On.Don', 'IAGA:ROD']",Rostov.On.Don
Rude Skov,Rude Skov,"['Rude.Skov', 'IAGA:RSV']",Rude.Skov
Rybachy,Rybachy,"['Rybachy', 'IAGA:RYB']",IAGA:RYB
S Cruz De Tenerife/Las Mesas,S Cruz De Tenerife Las Mesas,"['Las.Mesas', 'IAGA:TEN']",Las.Mesas
Sabhawala,Sabhawala,"['Sabhawala', 'IAGA:SAB']",Sabhawala
Sable Island,Sable Island,"['Sable.Island', 'IAGA:SBL']",Sable.Island
Sachs Harbour,Sachs Harbour,"['Sachs.Harbour', 'IAGA:SAH']",Sachs.Harbour
Sagastyr,Sagastyr,"['Sagastyr', 'IAGA:SAG']",Sagastyr
Saint Maur,Saint Maur,"['Saint.Maur', 'IAGA:PSM']",Saint.Maur
San Fernando,San Fernando,"['San.Fernando', 'IAGA:SFS']",San.Fernando
San Jose Dos Campos,San Jose Dos Campos,"['San.Jose.Dos.Campos', 'IAGA:SJB']",San.Jose.Dos.Campos
San Jose Las Lajas,San Jose Las Lajas,"['San.Jose.Las.Lajas', 'IAGA:SJL']",San.Jose.Las.Lajas
San Juan 1-2-3,San Juan 1 2 3,"['San.Juan.1-2-3', 'IAGA:SJG']",San.Juan.1-2-3
San Miguel,San Miguel,"['San.Miguel', 'IAGA:SMG']",San.Miguel
San Pablo De Los Montes,San Pablo De Los Montes,"['San.Pablo.De.Los.Montes', 'IAGA:SPT']",San.Pablo.De.Los.Montes
Sanae,Sanae,"['Sanae', 'IAGA:SNA']",IAGA:SNA
Santiago,Santiago,"['Santiago', 'IAGA:SNT']",Santiago
Sanya,Sanya,"['Sanya', 'IAGA:SAN']",IAGA:SAN
Saskatoon,Saskatoon,"['Saskatoon', 'IAGA:SAS']",Saskatoon
Scoresby Sund,Scoresby Sund,"['Scoresby.Sund', 'IAGA:SCO']",Scoresby.Sund
Scott Base,Scott Base,"['Scott.Base', 'IAGA:SBA']",Scott.Base
Sdr Stromfjord,Sdr Stromfjord,"['Sdr.Stromfjord', 'IAGA:STF']",Sdr.Stromfjord
Seddin,Seddin,"['Seddin', 'IAGA:SED']",IAGA:SED
Seoul,Seoul,"['Seoul', 'IAGA:SEO']",IAGA:SEO
Seykha,Seykha,"['Seykha', 'IAGA:SEY']",IAGA:SEY
Shatsk,Shatsk,"['Shatsk', 'IAGA:SHT']",IAGA:SHT
She-Shan,She Shan,"['She-Shan', 'IAGA:SSH']",She-Shan
Shepherd Bay,Shepherd Bay,"['Shepherd.Bay', 'IAGA:SHB']",Shepherd.Bay
Shillong,Shillong,"['Shillong', 'IAGA:SHL']",Shillong
Shumagin,SHU,"['Shumagin', 'IAGA:SHU']",Shumagin
